,l_1,l_2,l_3,l_4,l_5,l_6,p_1,p_2,p_3,p_4,p_5,p_6,brows_class
108,140.82805393548352,147.37175853402516,156.7030477297407,154.1481374579396,144.685815249914,148.8322410458688,150.55121828672657,141.1886159632416,130.451306036017,145.3209543624977,135.87870072791165,144.60520415501293,high_arch
109,156.52960991460102,166.70340985853576,171.01179647268563,158.04004415724867,156.88314378114143,166.58072101069672,165.3085035890931,158.97681650103954,150.71913145463722,157.6111527486834,152.80596004467102,159.5277204802581,high_arch
110,139.02704791832048,144.96076683583198,146.1069966773723,153.59213849580058,146.81561907413393,153.07764301766676,147.72435568542238,139.3615726450206,129.39979471049057,145.81824634592994,135.80035463739722,143.82037955202105,high_arch
111,126.0361301907076,135.5098218705896,142.22431569404534,144.82308079178492,134.24283113494147,142.32571192166137,145.84146629837508,142.19347005529553,134.32973407228306,150.04461160322202,141.96247556646054,149.39211329854837,high_arch
112,135.2538002425863,144.08801742751126,150.0684881594922,149.74356283647074,141.35063764907824,149.01966003003554,150.64224645720873,146.22068678371525,137.68011629163905,150.5506343628409,143.55294175882648,151.52579638992563,high_arch
113,126.24581779868747,134.9878016226001,140.51501867375046,146.50338963253182,135.51616422976483,143.35738337429714,147.1925994797726,149.7964298296786,148.4189569233941,163.17937372771576,156.76496469234002,159.25744763748787,high_arch
114,126.32541335750064,133.56401270248278,140.77263612305873,146.58391864203566,134.68804784013875,140.13737500609028,135.67259831760134,125.85719893243059,117.11595515629655,141.2239261191439,126.99001440805397,133.06208110570398,high_arch
115,124.3123513465304,133.38045143058704,140.69005477625785,144.2229774776018,132.8357823926228,140.36937354728335,146.5482910761105,139.4437560085276,133.7622736207385,151.81214871886397,140.8794048676882,144.6660363843998,high_arch
116,127.76332666118618,133.55022395929907,137.74120655564352,148.5342361508412,137.41689380699398,142.29162348042613,135.8737241119672,129.16983078881154,121.08118179364006,143.44752724790845,131.1665728428091,137.57390439512199,high_arch
117,131.0992515610338,148.29769423930819,156.40867990540212,139.8098992481503,134.57684831760798,150.9656696180094,154.49756069189183,150.46890793293488,146.34087974308216,159.27951470030885,151.88800827534865,155.00532749792666,high_arch
118,138.6123637867005,144.78527820915014,152.30276854779072,153.5401751132718,144.0732827704937,148.05824339487125,146.54343850904905,144.59313426273033,127.51364336001942,137.72631099390625,134.1776290200018,152.72323661688634,high_arch
119,148.73216772452705,153.2397037377002,157.06789956241022,160.1342319782816,153.67170689482913,157.26470757869362,152.52710112510724,146.48161899715765,128.453709216706,137.36137465817563,133.11072008352443,151.10028703862557,high_arch
120,133.54753336669933,137.0063923722274,141.199514912989,153.40707444929382,142.51842687944216,144.817148118678,145.88336519451136,145.26441584536065,132.63862534182437,144.66273414451396,140.54846629371806,154.7016248489839,high_arch
121,132.911110333793,142.00784722897686,150.24658510758496,148.40059152110976,138.76173931493548,145.89988509959392,152.01258712871282,144.98412726668204,140.33550044858305,156.33396001461236,146.36332356825727,148.9097070581161,high_arch
122,128.88910479689238,150.2194648311738,156.29735404903374,133.7981669355479,131.92467392194797,153.76423128676868,153.8766034071751,147.57893523749306,141.97276928602648,156.12471914607247,147.52880770915152,151.3103322366535,high_arch
123,128.38978177487124,137.72168924837194,141.69394730594206,145.65186200660958,137.41526204366272,146.63068926031357,141.51200782141854,140.0873432156464,137.33767527574759,155.89339424447857,146.37205291897428,148.92424404157896,high_arch
124,140.8670937979215,150.31726792597695,155.17037160807743,151.51290013031524,145.55914563063465,154.28266668222625,154.22067025593424,149.18052573573368,140.3089887113524,151.92751306414704,145.4987653153172,153.64254131856836,high_arch
125,124.49099061994356,135.72446018213265,141.94163455266195,142.74166234267594,133.1168761669118,143.69949991212553,143.83354695936848,143.2189702724463,144.50608058102387,163.2403019958058,153.4563119015417,151.75424335557088,high_arch
126,131.17395737904022,140.48541865252653,148.5991973242679,147.2647737278924,137.5371951764908,144.85132734280808,152.55654743505283,144.02179346167787,134.35625428582463,148.39249775375112,139.51183860323087,147.22381404499998,high_arch
127,137.37160953971986,144.54142467615844,152.55014226208752,151.80692163549014,142.53599478168485,147.641341362593,148.88157617246588,140.25726556882805,130.05805251710873,145.94499613828955,136.1517055361106,144.14494707677318,high_arch
128,140.58641741984454,150.67795810772827,155.55604521958347,151.00861299131967,145.1525994058907,154.70031248833294,156.917837868797,153.434948822922,144.0039657500252,153.38631065165703,148.64723833314406,157.92686459921333,high_arch
129,136.16410132396868,142.4375356832688,149.53819615350176,152.29730981912886,142.43595868634603,146.71402956629774,148.1878099213056,140.30025055384783,132.40215466416552,149.48976259388445,139.08561677997488,144.94023373379397,high_arch
